	sourceUrl	sourceName	sourceDate	hasAnswer	targetLocation	language	dateScraped	ID	question	answer
0	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters	WHOMyth	1587072033.0	True		en	1587072033.3328729	WHOMyth|||7875246271025196098	5G mobile networks DO NOT spread COVID-19	Viruses cannot travel on radio waves/mobile networks.COVID-19 is spreading in many countries that do not have 5G mobile networks. COVID-19 is spread through respiratoatry droplets when an infected person coughs, sneezes or speaks. People can also be infected by touching a contaminated surface and then their eyes, mouth or nose.
1	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters	WHOMyth	1587072033.0	True		en	1587072033.33375	WHOMyth|||1411676066738101238	Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19)	You can catch COVID-19, no matter how sunny or hot the weather is. Countries with hot weather have reported cases of COVID-19. To protect yourself, make sure you clean your hands frequently and thoroughly and avoid touching your eyes, mouth, and nose.
2	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters	WHOMyth	1587072033.0	True		en	1587072033.3348439	WHOMyth|||1334080676991664206	You can recover from the coronavirus disease (COVID-19). Catching the new coronavirus DOES NOT mean you will have it for life.	Most of the people who catch COVID-19 can recover and eliminate the virus from their bodies. If you catch the disease, make sure you treat your symptoms. If you have cough, fever, and difficulty breathing, seek medical care early – but call your health facility by telephone first. Most patients recover thanks to supportive care.
3	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters	WHOMyth	1587072033.0	True		en	1587072033.3358111	WHOMyth|||-6136583797365906226	Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease (COVID-19) or any other lung disease.	The most common symptoms of COVID-19 are dry cough, tiredness and fever. Some people may develop more severe forms of the disease, such as pneumonia. The best way to confirm if you have  the virus producing COVID-19 disease is with a laboratory test.  You cannot confirm it with this breathing exercise, which can even be dangerous.
4	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters	WHOMyth	1587072033.0	True		en	1587072033.336951	WHOMyth|||-1516643022205247418	Drinking alcohol does not protect you against COVID-19 and can be dangerous	Frequent or excessive alcohol consumption can increase your risk of health problems.
5	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters	WHOMyth	1587072033.0	True		en	1587072033.3379898	WHOMyth|||8861044475336384374	COVID-19 virus can be transmitted in areas with hot and humid climates	From the evidence so far, the COVID-19 virus can be transmitted in ALL AREAS, including areas with hot and humid weather. Regardless of climate, adopt protective measures if you live in, or travel to an area reporting COVID-19. The best way to protect yourself against COVID-19 is by frequently cleaning your hands. By doing this you eliminate viruses that may be on your hands and avoid infection that could occur by then touching your eyes, mouth, and nose.
6	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters	WHOMyth	1587072033.0	True		en	1587072033.339092	WHOMyth|||8013467042069150693	Cold weather and snow CANNOT kill the new coronavirus.	There is no reason to believe that cold weather can kill the new coronavirus or other diseases. The normal human body temperature remains around 36.5°C to 37°C, regardless of the external temperature or weather. The most effective way to protect yourself against the new coronavirus is by frequently cleaning your hands with alcohol-based hand rub or washing them with soap and water.
7	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters	WHOMyth	1587072033.0	True		en	1587072033.3398871	WHOMyth|||-6056408083041847515	Taking a hot bath does not prevent the new coronavirus disease	Taking a hot bath will not prevent you from catching COVID-19. Your normal body temperature remains around 36.5°C to 37°C, regardless of the temperature of your bath or shower. Actually, taking a hot bath with extremely hot water can be harmful, as it can burn you. The best way to protect yourself against COVID-19 is by frequently cleaning your hands. By doing this you eliminate viruses that may be on your hands and avoid infection that could occur by then touching your eyes, mouth, and nose.
8	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters	WHOMyth	1587072033.0	True		en	1587072033.340662	WHOMyth|||5280868444885777556	The new coronavirus CANNOT be transmitted through mosquito bites.	To date there has been no information nor evidence to suggest that the new coronavirus could be transmitted by mosquitoes. The new coronavirus is a respiratory virus which spreads primarily through droplets generated when an infected person coughs or sneezes, or through droplets of saliva or discharge from the nose. To protect yourself, clean your hands frequently with an alcohol-based hand rub or wash them with soap and water. Also, avoid close contact with anyone who is coughing and sneezing.
9	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters	WHOMyth	1587072033.0	True		en	1587072033.3414578	WHOMyth|||8064360391393853969	Are hand dryers effective in killing the new coronavirus?	No. Hand dryers are not effective in killing the 2019-nCoV. To protect yourself against the new coronavirus, you should frequently clean your hands with an alcohol-based hand rub or wash them with soap and water. Once your hands are cleaned, you should dry them thoroughly by using paper towels or a warm air dryer.
