Question	Answer	Need to update (Y/N)	Tags	Source	Annotator/Author	Expert approved? 
What is novel (new) coronavirus? 	COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).			CDC		
What is a coronavirus? 	COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).			WHO		
Why is it called COVID-19? 	COVID comes from corona (CO), virus (VI), and disease (D). 19 because it was identified in the year 2019. 			CDC		
Why might someone blame or avoid individuals and groups because of COVID-19? 	There has been a rise in stigma and hate crimes against Chinese and other Asian Americans, as well as people who were in quarantine. This is due to lack of knowledge around how COVID-19 spreads, a need to blame someone, fears about disease and death, as well as gossip that spreads rumors and myths. [[Would you like to know more?]] Stigma hurts everyone as it creates more fear and anger towards ordinary people, instead of the disease that is causing the problem, or towards systems that are not supporting people in accessing screening and treatment. Sharing facts about how COVID-19 actually spreads can help stop stigma. 			CDC		
How can people help stop stigma related to COVID-19? 	There has been a rise in stigma and hate crimes against Chinese and other Asian Americans, as well as people who were in quarantine. This is due to lack of knowledge around how COVID-19 spreads, a need to blame someone, fears about disease and death, as well as gossip that spreads rumors and myths. [[Would you like to know more?]] Stigma hurts everyone as it creates more fear and anger towards ordinary people, instead of the disease that is causing the problem, or towards systems that are not supporting people in accessing screening and treatment. Sharing facts about how COVID-19 actually spreads can help stop stigma. 			CDC		
What caused COVID-19? 	There are many types of coronaviruses. Some only cause illness in people, and some only infect animals. COVID-19 is likely due to an animal coronavirus being able to infect and spread among people. In the past, there was Middle East Respiratory Syndrom (MERS) and Severe Acute Respiratory (SARS) which are both coronaviruses that came from animals and spread among people.   [[Would you like more information?]] MERs is Middle East Respiratory Syndrome. It is also caused by coronavirus, similar to COVID-19. This virus was first reported in 2012 in Saudi Arabia. Their symptoms are severe acute respiratory illness which includes fever, cough, and shortness of breath. The virus does not pass easily person-to-person unless there is close contact, which includes providing unprotected care to a patient. [[Would you like more information?]] SARS is Severe Acute Respiratory Syndrome. It was identified in 2003. It is thought to be an animal virus, though the animal source has not yet been identified. It transmits person-to-person, and has influenza-like symptoms, which include fever, malaise, headaches, diarrhea, and shivering. Currently, SARS-CoV is not being transmitted anywhere in the world. Since the 2003 epidemic, it has appeared four times due to laboratory accidents. 			CDC		
What is MERS-CoV?	MERs is Middle East Respiratory Syndrome. It is also caused by coronavirus, similar to COVID-19. This virus was first reported in 2012 in Saudi Arabia. Their symptoms are severe acute respiratory illness which includes fever, cough, and shortness of breath. The virus does not pass easily person-to-person unless there is close contact, which includes providing unprotected care to a patient. [[Would you like more information?]] SARS-CoV-2 means Severe Acute Respiratory Syndrome Coronavirus 2. It is the virus that leads to the coronavirus disease, also known as COVID-19. 			WHO		
What is SARS-CoV?	SARS is Severe Acute Respiratory Syndrome. It was identified in 2003, and first infected people in the Guangdong province of Southern China in 2002. It is thought to be an animal virus, though the animal source has not yet been identified. It transmits person-to-person, and has influenza-like symptoms, which include fever, malaise, headaches, diarrhea, and shivering. Currently, SARS-CoV is not being transmitted anywhere in the world. Since the 2003 epidemic, it has appeared four times due to laboratory accidents.  [[Would you like more information?]] SARS-CoV-2 means Severe Acute Respiratory Syndrome Coronavirus 2. It is the virus that leads to the coronavirus disease, also known as COVID-19. Unlike SARS, in Covid-19, patients become highly infectious before they become seriously ill, explaining at least in part why Covid-19 acts like a super-SARS.			WHO		
What is SARS-CoV-2?	SARS is Severe Acute Respiratory Syndrome. It was identified in 2003, and first infected people in the Guangdong province of Southern China in 2002. It is thought to be an animal virus, though the animal source has not yet been identified. It transmits person-to-person, and has influenza-like symptoms, which include fever, malaise, headaches, diarrhea, and shivering. Currently, SARS-CoV is not being transmitted anywhere in the world. Since the 2003 epidemic, it has appeared four times due to laboratory accidents.  [[Would you like more information?]] SARS-CoV-2 means Severe Acute Respiratory Syndrome Coronavirus 2. It is the virus that leads to the coronavirus disease, also known as COVID-19. Unlike SARS, in Covid-19, patients become highly infectious before they become seriously ill, explaining at least in part why Covid-19 acts like a super-SARS.			WHO		
Why are there two names for COVID-19? 	SARS-CoV-2 refers to the virus that causes COVID-19. COVID-19 is the disease itself. The virus has a different name for the disease to support the development of diagnostic testing, vaccines, and medicines. The disease is named as such to enable discussion on disease prevention, spread, its ability to transmit, its severity, and its treatment. 			WHO		
What is the difference between COVID-19 and SARS-CoV-2?	SARS-CoV-2 refers to the virus that causes COVID-19. COVID-19 is the disease itself. The virus has a different name for the disease to support the development of diagnostic testing, vaccines, and medicines. The disease is named as such to enable discussion on disease prevention, spread, its ability to transmit, its severity, and its treatment. 					
What are respiratory droplets? 	They are any types of secretions that come from your nose and mouth. This could include droplets released when you sneeze, cough, or talk. Respiratory droplets may also be passed from person-to-person through commonly used surfaces such as door nobs, elevator buttons and faucets.  [[Would you like more information on how you can avoid getting infected with the virus that causes Covid19?]] Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. It means avoiding crowds, mass gatherings, and maintaining at least a 6 foot distance fom others. This means no handshakes, hugs, or high-fives. 					
Where did COVID-19 come from? 	It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person. 			CDC		
How does COVID-19 spread? 	It is able to spread person-to-person. The spread can also be through respiratory droplets released when you sneeze, cough, or talk. Respiratory droplets may also be passed from person-to-person through commonly used surfaces such as door nobs, elevator buttons and bathroom faucets.  [[Would you like more information?]] Among viruses, some are more contagious than others; for example, measles is so contagious that if one person has it, 9 out of 10 people of ALL ages around them will also become infected if they are not protected. COVID-19 is able to spread easily in the community, which is called "community spread".   [[Would you like more information on how you can avoid getting infected with the virus that causes Covid19?]] 			CDC		
What is community spread? 	Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected.			CDC		
What is flattening the curve? 	Flattening the curve refers to the use of socially distancing to prevent surges in the amount of people who have the illness, that can overwhelm healthcare systems. 			JHU		
Why do I have to "socially distance"? 	Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. As COVID-19 spreads person-to-person in close contact, we want to reduce the chance of infection amongst populations that are vulnerable. This includes older adults (over the age of 65) and those with suppressed immune systems. It is also to help reduce the burden on healthcar esystems and workers, as there are not enough workers and beds to care for patients if everyone were to have COVID-19 at the same time. 			JHU		
 Why do I have to stay at home?	Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. As COVID-19 spreads person-to-person in close contact, we want to reduce the chance of infection amongst populations that are vulnerable. This includes older adults (over the age of 65) and those with suppressed immune systems. It is also to help reduce the burden on healthcar esystems and workers, as there are not enough workers and beds to care for patients if everyone were to have COVID-19 at the same time. 					
What does socially distancing even mean? 	It is avoiding crowds, mass gatherings, and maintaining at least a 6 foot distance fom others. This means no handshakes, hugs, or high-fives. 			CDC		
What is the COVID-19 situation in the U.S? 	All 50 states in the U.S., as well as D.C., Puerto Rico, Guam, and the U.S. Virgin Islands have reported presumptive positive cases of COVID-19. 			CDC		
What does presumptive positive mean? 						
Is COVID-19 contagious? Can someone who has it spread it to others? 	Yes. It is actively spreading person to person. The CDC recommends that those who have COVID-19 are isolated either at a hospital or at home, depending on how sick they are, until they are no longer at risk of infecting others. 			CDC		
How long do people have to isolate for? 	It depends, and is often decided on a case-by-case basis. The CDC guidance currently says it is okay to release someone from isolation if they have met the following requirements:  * The individual has no more fever without use of fever-reducing medications  * The individual no longer showing symptoms like the cough * The individual has tested negative on at least two tests that have been collected at least 24 hours apart 	Yes, because the guidance might change. 		CDC		
If you have been released from isolation, will you still be able to spread COVID-19 to others? 	Once a person has been released from isolation, they are not considered to pose a risk to others. 					
