Question	Answer	Need to update (Y/N)	Tags	Source	Annotator/Author
General Questions 					
Should I worry about covid 19? 					
Should I call to find out more? 					
Why corona is so dangerous? How dangerous is it? 					
How does COVID-19 cell look like?					
What are the complications from Covid-19?	Complications from COVID-19 include pneumonia in both lungs, organ failure in several organs, and death. 			MayoClinic	
When is COVID19 going to stop?	Unfortunately, we do not know. There is still a lot to learn about COVID-19. Right now, it is best to practice social distancing, stay at home as much as possible, and practice frequent hand-washing with soap and water for at least 20 seconds. If you do have to go out, maintain a 6 foot distance between yourself and others. 	Yes, if we have more information. 		CDC	
Will herd immunity be the only means of eradicating COVID-19? 	No, herd immunity is not the only way to eradicate COVID-19.   Herd immunity refers to when enough of the population is immune to an infectious disease (either through vaccinations and/or prior illness) that it makes it difficult for the disease to spread person to person - even if some people are not vaccinated. For COVID-19, that would mean allowing enough people (who, ideally, are younger and healthier) to get mildly sick to develop immunity and reduce the person-to-person spread.   However, by choosing this option, that means many people will become sick with COVID-19, leading to more hospitalizations, an overburdened healthcare system, and more deaths. There is also still a lot that we do not know about COVID-19, including how long the immunity lasts.   Right now, it is best to practice social distancing, stay at home as much as possible, and practice frequent hand-washing with soap and water for at least 20 seconds. If you do have to go out, maintain a 6 foot distance between yourself and others.   			National Geographic	
What is a virus?					
Long-term health consequences post-recovery					
Is the virus manufactured or naturally occuring? 					
What's the name of the virus? 					
What is the impact of COVID-19?					
When was the first COVID-19 case reported? 					
Is there more than one strain of COVID-19?  (Is there a new form of corona virus?) 					
COVID-19 stands for what? 					
What is the difference between a bacteria and a virus?					
What is the difference between a pandemic & epidemic? Why did WHO declare this a pandemic? 					
How many new cases? 					
What is the situation now in my country?					
What is the current situation of COVID-19 infections? (What is the situation right now in the world?) 					
COVID-19 Spread / Transmission 					
If I cross someone on the street 					
Does covid transfer through air? 					
When will it stop spreading? Is 2 weeks enough? 					
How long are you contagious for if you have COVID-19? 	It varies as decisions about when one can be released from isolation are made on a case-by-case basis. If you have been released from isolation, then you are no longer considered to pose a risk of infection to others. To be released from isolation, one must meet all of the following requirements:  1. the patient is free from fever without use of fever-reducing medications.  2. the patient is no longer showing symptoms, including the cough. 3. the patient has tested negative on at least two consecutive respiratory specimens collected at least 24 hours apart. 	Yes, if this changes based on new information. 		CDC	
Is the virus infectious during incubation period? 	Yes, it is infectious during incubation period. If you are displaying COVID-19 symptoms, please self-isolate. If you think you might have had exposure to COVID-19, please quarantine yourself as you could be asymptomatic (have no symptoms). 				
Will Covid19 go away like the 1918 influenza and SARS did?					
how much longer will society need to socially isolate?	At this point, it is unclear how much longer we will need to socially isolate as a society. 				
Will high temperature kill Coronavirus?					
How long does COVID-19 live on glass surfaces? 					
How long does it stay on fabric?  					
Will the virus continue to spread for a long time? 					
How long can the virus live? 					
Can the Covid survive in the air? 					
How is COVID-19 spread? 					
How does COVID-19 spread?					
How long does the virus remain active and alive after attacking a human body? 					
Can you be infected more than once? 					
When will the municipalities post heat maps to identify hot spots for Covid positive residents? 					
Is Covid19 an airborne? (Can I get the virus from breathing infected airborne particles) 					
Does washing clothes in the washing machine prevent transmission? 					
How COVID-19 is infecting?					
How to prevent the spread of COVID-19? 					
Is Covid like flu?					
COVID-19 Screening / Testing / Treatment					
What are covid-19 test centers location in Montreal? 					
What should I buy from the stores now that I feel sick? 					
How to take care of infected people 					
What are the side effects of hydroxychloroquine for treating COVID-19? 					
Should I use Sudafed? 					
When is a vaccine going to be available? 					
Do I have COVID-19? 	The only way to know if you have COVID-19 is to get tested. However, not everyone needs to be tested for COVID-19. If you are exhibiting COVID-19 symptoms, or have been exposed to those who have it, then it is recommended to seek testing.   "The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny-nose, sore throat, or diarrhea. These symptoms are usually mild and begin gradually. Some people may also become infected and don't develop any symptoms or feel unwell (also known as being asymptomatic). Symptoms appear between 1-14 days after exposure to COVID-19.   Older people (over the age of 65) and those with underlying medical problems (e.g. high blood pressure, heart problems, diabetes) are more likely to get seriously ill.  If symptoms are severe - like having persistent pain/pressure in chest, new confusion or inability to arouse, or bluish lips or face, contact healthcare provider or go to the emergency room - it is important to seek care immediately.			WHO	
Is the COVID-19 test anonymous? 	If you test positive for COVID-19, that will be reported to public health authorities. This is so that they can track the outbreak, and alert others who also might have been exposed. 			CDC	
Which hospital takes the COVID-19 test? 	If you have the symptoms of COVID-19 and want to get tested, call your local health department or a medical provider. Please note that while test supplies are increasing, it may be difficult to find a place to get tested.				
Is the test covered by [X]					
I would like clarification about the fact that test results don't work if you don't have symptoms. That doesn't seem like a commonality we usually see with tests like this. 					
Masks 					
I think I have coronavirus...what should I do? ("If I catch the virus..."; "If I think I have it...") 					
How to self diagnose					
Should I use NSAIDs? 					
What is the COVID-19 test? 					
What kind of medication can I take if I have the virus? (Is there any medication to take to help?) 					
Would using heated-vapor humidifier help with sanitizing the sinuses of the covid-19?					
Where are testing centers located in Mtl? 					
How do I know when to get tested? 					
What is the nearest hospital to go to if I have COVID-19? 					
When will treatment be available for this pandemic? 					
How can I make the difference between a cold and COVID-19? 					
How do I treat coronavirus? 					
What's a waiting time to get covid-19 results?  (How long after testing do you receive your COVID-19 results?) 					
How can I test if I have the disease? 					
Where can we find ventilators? 					
COVID-19 How to Protect Yourself / Your Family / Your Community					
					
How to stay safe 					
Can I move in with family if we have all been symptom free for 14 days? 					
Can you see friends if you stick to the social distancing guidelines? 					
How can one fight the virus?					
What can you do? (What can we do to protect ourselves from COVID-19?)					
Can I still go out for grocery shopping even if I'm just getting back from vacations					
Am I allowed to go for a walk? (Is it dangerous to go for a walk?) 	It is recommended that you limit the amount you be outside, especially if there is a COVID-19 outbreak in your community. You can be outside, but make sure that you're maintaining at least a 6 foot distance between yourself and others. Do not go to places where there are a lot of people, or crowding. 				
Should I stay home and even avoid going to the supermarket and drugstore? 	Yes, you can go to the supermarket and drugstore, but it is important to go during off-peak hours when less people will be there. It is also important to reduce the amount of times you need to go, as we want to practice social distancing, and stay at home as much as possible.This is to prevent those who are sick from coming into contact with those who are healthy, and reduce the opportunity for COVID-19 to spread further.  				
How often should I take my temperature? 					
What is the advice surrounding outdoor exercise/sport? 					
Will healthcare workers be more isolated because they are exposed to the virus on a daily basis? 					
What foods can I eat to get immune? 					
How do we interact with others? 					
Can older adults and those who are at higher risk go outside for a walk inside shopping malls, which are quite isolated these days 					
I worry about my mental health during quarantine (I have a lot of stress regarding COVID-19) 					
Should I go to work if there is an outbreak in my community? 					
Should I go to the ER or my physician directly if I'm infected? 					
We are currently on lockdown? Can I go out? Can I work outside? Can I go for a walk? 					
Are there any natural health products that can treat or prevent Covid-19					
Can antiviral drugs be used to treat Covid-19?					
Options to disinfect hand / surfaces other than soap / alcohol 					
Do I need to wear a mask? I heard it's worse if you touch your face. 					
Can I go to the supermarket? 					
Do I need to be quarantined from my family in my home?					
How long will social distancing measures last?  (How long do you thin kwe will have to be in a lockdown) 					
Is staying at home mandatory? (Should I stay at home?)					
Should he self isolate when he gets her even if he feels well? 					
Can I go out after recovery even if I am still in quarantine time? 					
Should I visit my parents in a senior home? 					
Someone from quarantine came to my house and stayed 20 min. Is it a risk?					
COVID-19 Risk and Symptoms 					
Is the phlegm color suggestive of coronavirus? 					
If you start showing flu symptoms should you consult a doctor or stay home?					
How does covid 19 feel (how painful will it be if I got the virus?)					
What is the likelihood of having covid if only showing one symptoms for example dry cough 					
I have asthma. How at risk am I about the possibility of complications? 					
Does the amount of virus one is exposed to change the severity of the symptoms? 					
I feel sleepy					
I'm feeling dizzy with fever do I have corona? 					
My husband has pulmonary fibrosis so I'm really worried about him 					
I had bronchitis last month and I'm still having trouble with my breathing a month later but I don't have a fever. Could it be corona virus? 					
What should I do if I am short of breath? 					
If I'm in self-quarantine with mild symptoms of some sort of respiratory thing					
Is the virus deadly? 					
What is the main symptoms of the disease related to new coronavirus  (can you please tell me symptoms of corona virus?; what are the confirmed symptoms of COVID19; what is the most usual symptom of Covid-19; symptoms?; what are the top symptoms) 					
What should I do if I start coughing? 					
I have diabetes am I at risk? 					
I have a headache for the past 3 days should I be tested?  (I have some headache...)					
Coronavirus characteristics 					
Does everyone who gets COVID-19 die? 					
It has only 1 percent mortality rate. Doesn't seem too bad?					
What should I do if my 2 year old child starts having a runny nose? 					
I lost my sense of taste, does this mean I have coronavirus? 					
How long people live after being infected by coronavirus 					
Can I die? (Can you die from contracting covid?)					
What range of fever for COVID-19? (How much fever should I tolerate before going to a doctor?)					
Can I get it again if I had it before? (Is it possible to be infected again?; If someone was infected once...) 					
I have a fever what should I do? (I have a fever...)					
How many young people are hospitalized / affected? 					
Is an itchy or sore throat a symptom? 					
What is my level of risk? 					
How long does it take to get the first symptom of Covid-19 (How many days does it take to see the symptoms)					
What are the conditions under which people are most likely to develop complications versus those who can't?					
How do I know if I got COVID (symptoms of covid-19; how do I know I have covid; How do I know if I hav been infected?; How to know if I get COVID-19 or not?; What are the symptoms I should feel if I am infected with corona virus?) 					
I've have mild cough and not the continuous one. Ans symptoms of fever like burning eyes 					
What should I do if I start feeling sick with similar symptoms as in covid19?  (What should I do if I have Coronavirus symptoms?) 					
Is it possible to have Covid-19 if you only have one of the symptoms? 					
What is the first symptom of the virus? (Which are its first symptoms?) 					
COVID-19 and Children					
					
					
COVID and Work 					
My employer is not implementing social distancing or safety measures in my workplace. What recourse do I have? 					
					
					
COVID and Pregnancy 					
What do I do if i've tested positive for COVID-19 and am about to deliver?					
					
					
					
					
COVID and Pets / Animals 					
Can I get the virus from a stray cat? 					
Can I get infected from a dog?					
Can I get COVID19 if someone pets my dog and then I pet her? 					
COVID and Travel					
Shall we stay where we are or travel to our home country? 					
Can I travel? 					
Is it dangerous to travel					
If I was traveling abroad recently					
COVID and Funerals 					
					
					
					
					
COVID - Discrimination, Racism					
China is the reason behind COVID-19? 					
					
					
					
					
					
					
COVID in the United States 					
Why does the government think that we don't need to wear face masks when clearly citizens from countries that are able to contain the virus are all wearing face masks 					
					
COVID-19 and Food 					
Are we going to have trouble buying milk? 	If you are not able to find a particular product at the grocery store, it might be due to people stocking their pantries and buying in bulk. 			CSIS 	
Will the grocery stores close down? 					
what should i eat or drink to avoid or battle with COVID					
Can you drink alcohol during COVID					
Can drinking alcohol help COVID-19? 					
					
COVID-19 Other 					
Why are the death rates so different across countries? 					
How does COVID-19 kill people? 					
What can I do during quarantine? 					
How can I help? 					
Would it help eradicate viruses immediately if we put in place proper healthcare systems in every country					
WHen will schools reopen? 					
How many people died (how many people have died) 					
How severe is COVID					
Do I need to disinfect things I buy like groceries and supplies? 					
Should I go to the hospital? 					
Are research fundings going to be cut as the result of the virus? 					
Age-wise statistics of COVID					
How does COVID-19 affect lungs					
How can I protect myself on a plane? 					
How long am I contagious for? 					
Will the virus affect my sexual ability? 					
Does gargling salt water work? 					
Will humanity survive COVID19? 					
Has COVID-19 mutated? 					
When will this get back to normal? 					
When will lockdown be stopped? 					
When will X be in quarantine? 					
Why is there no toilet paper? 					
what type of drugs may I take if I have covid19? 					
How long should I stock up on food for? 					
How does COVID affect asymptomatic people's lungs					
Does hot water kill covid19					
I am worried about COVID-19					
Are young people susceptible to COVID-19					
HOw safe is it to use taxi/uber during COVID					
How many asymptomatic people are there likely to be? 					
Can I go to the barber? 					
When is the peak expected in the US					
How do i take my temperature					
Does the virus get milder due to coevolution					
If somebody survived COVID-19, is he completely virus-free?					
Is there a cure for coronavirus?					
Will Canada be as bad as USA? 					
Are all soaps effective when washing hands for 20 seconds? 					
I have cough. Does that mean I might be infected? 					
Are there still flights within Canada? 					
How many confirmed cases in Ontario now?					
How many cases in Quebec? (Quebec cases) 					
Will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery? We have Sobey's, Loblaw, Amazon, Walmart, and Intelcome who do this today but in an unconcerted way. 					
How many cases in Montreal? 					
Why are death rates so different across countries? 					
Are vet clinics still open? 					
is there a different variant of virus which is spreading across the world 					
How many COVID-19 related deaths have there been in Montreal? 					
We are currently on a lockdown... can I go outside? Can I go for a run? Can I work outside? (Is it safe to jog/run outside?)					
I had an asthma attack when I was young but didn't have an episode for over 15 years. Am I still at risk?					
Is vomiting a symptom?					
What is the range of a fever for COVID-19?					
I got the flu two weeks ago and am getting symptoms again. Do I have COVID-19?					
Can I visit my parents?					
How often should I take my temperature?					
I have a headache and an itchy throat. Am I at risk?					
Is it safe to order food during the COVID-19 pandemic? (Is ordering food from a restuarant discouraged?) 					
How can I get tested if I am asymptomatic?					
Does eating oranges daily help to fight the virus?					
How long before we are healed? (How long is this expected to last?)					
How long will it take to develop a vaccine?(How long before we have a vaccine for corona?; When is the vaccine available?) 					
Must the fever symptoms related to COVID-19 be a continuous fever or is it possible that the fever is short-lived?					
I have Hashimoto's hypothroiditis. Am I more at risk?					
Do I need to stay away from my family members if we're all social distancing together in the house 					
What is the half-life of coronavirus					
Is it bad? 					
Does COVID spread by means of gametes					
Can you smoke weed/cannabis during COVID					
Do I need to wash fruits and vegetables? 					
Should I use aspirin/ tylenol/etc					
Difference between corona and COVID-19					
If I ingest soap bubbles, will that kill the virus upon contact with my lungs? 					
What will be the impact on international students? 					
How long has the virus been spreading in Canada? 					
What colour is covid 19? 					
What's the current count in India 					
How long will the pandemic last? (When is this virus terminated?; When will covid end?; Is there an estimate as to how long the crisis will last?) 					
Does soap really kill the virus? 					
What do I have to expect ater the disease? 					
What are the daily death rates in Italy 					
I was very sick with covid symptoms in late February and still coughing. Should I go get tested? 					
How many people died in NYC 					
How many people died in Belgium? 					
From the infected worldwide population what is the ratio that will need medical attention (eg. ICU or ventilators)? 					
What places of Laval has covid-19					
How many Canadians currently have corona virus? 					
Is the liquor store open? 					
How long does it take to recover? (how long do symptoms of COVID-19 last for?)					
Is it transmittable through anal sex? 					
Should I be moving house during a pandemic? 					
When will Germany reach the peak? 					
What about the researches with respect to treatment of COVID-19					
What is the total number of deaths? 					
If I have covid-19...					
How many cases of coronavirus in Madagascar 					
To get an idea of how widespread the virus is 					
How much the quarantine process has a positive impact on reducing contamination spread? 					
What should you do if you don't have water and soap and sanitizer?					
I am feeling itchy around my body. Is it a symptom of covid? 					
What is this rainbow thing that people are talking about 					
What is the death rate in South Carolina? 					
From the infected worldwide population what will be the ratio of asymptomatic people					
How many people related covid-19					
