header,name,url,time_accessed,is_pdf
CDC Guidance,Centers for Disease Control and Prevention (CDC) COVID-19,https://www.cdc.gov/coronavirus/2019-ncov/index.html,1584767465,False
What the U.S. Government is Doing,"Government Response to Coronavirus, COVID-19",https://www.usa.gov/coronavirus,1584767465,False
Medicaid and CHIP Resources,COVID-19 FAQs for State Medicaid and CHIP Agencies,https://www.medicaid.gov/state-resource-center/downloads/covid-19-faqs.pdf,1584767465,True
Medicaid and CHIP Resources,COVID-19 Emergency Declaration Health Care Providers Fact Sheet,https://www.cms.gov/files/document/covid19-emergency-declaration-health-care-providers-fact-sheet.pdf,1584767465,False
Medicaid and CHIP Resources,CMS Section 1135 Waiver Approvals,/state-resource-center/disaster-response-toolkit/federal-disaster-resources/index.html,1584767465,False
Medicaid and CHIP Resources,CMS Section 1135 Waiver Flexibilities,/state-resource-center/disaster-response-toolkit/cms-1135-waivers/index.html,1584767465,False
Medicaid and CHIP Resources,Home and Community-Based Section 1915(c) Waiver Information,https://www.medicaid.gov/medicaid/home-community-based-services/home-community-based-services-authorities/home-community-based-services-1915c/index.html,1584767465,False
Medicaid and CHIP Resources,Fact Sheet: Coverage and Benefits Related to COVID-19 Medicaid and CHIP,https://www.cms.gov/files/document/03052020-medicaid-covid-19-fact-sheet.pdf,1584767465,False
Medicaid and CHIP Resources,Disaster Preparedness Toolkit for State Medicaid Agencies,https://www.medicaid.gov/state-resource-center/downloads/mac-learning-collaboratives/medicaid-chip-disastertoolkit.pdf,1584767465,True
Medicaid and CHIP Resources,Inventory of Medicaid and CHIP Flexibilities and Authorities in the Event of a Disaster,https://www.medicaid.gov/state-resource-center/downloads/mac-learning-collaboratives/medicaid-chip-inventory.pdf,1584767465,True
Medicaid and CHIP Resources,Medicaid Telehealth,https://www.medicaid.gov/medicaid/benefits/telemedicine/index.html,1584767465,False
Medicaid and CHIP Resources,Finding Medicaid Coverage for Eligible Children,https://www.insurekidsnow.gov/,1584767465,False
Medicaid and CHIP Resources,"CMS HPMS Memo to All Medicare Advantage Organizations, Part D Sponsors, and Medicare-Medicaid Plans: Information Related to Coronavirus Disease 2019 - COVID-19",https://www.cms.gov/files/document/hpms-memo-covid-information-plans.pdf,1584767465,False
Additional CMS Guidance,Centers for Medicare & Medicaid Services Emergency Preparedness and Response Operations (EPRO): Current Emergencies,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,1584767465,False
Clinical and Technical Guidance:,CMS Adult Elective Surgery and Procedures Recommendations,https://www.cms.gov/files/document/31820-cms-adult-elective-surgery-and-procedures-recommendations.pdf,1584767465,False
Clinical and Technical Guidance:,Guidance for Infection Control and Prevention of Coronavirus Disease 2019 (COVID-19) in Nursing Homes-REVISED,https://www.cms.gov/files/document/3-13-2020-nursing-home-guidance-covid-19.pdf,1584767465,False
Clinical and Technical Guidance:,COVID-19 Emergency Declaration Health Care Providers Fact Sheet,https://www.cms.gov/files/document/covid19-emergency-declaration-health-care-providers-fact-sheet.pdf,1584767465,False
Clinical and Technical Guidance:,Guidance for Infection Control and Prevention of Coronavirus Disease 2019 (COVID-19) in dialysis facilities,https://www.cms.gov/medicareprovider-enrollment-and-certificationsurveycertificationgeninfopolicy-and/guidance-infection-control-and-prevention-coronavirus-disease-2019-covid-19-dialysis-facilities,1584767465,False
